order_date,region,product,quantity,unit_price
2025-10-20,North,Laptop,4,75
2025-07-17,North,Monitor,2,25
2025-07-26,North,Keyboard,5,25
2025-02-25,South,Tablet,1,25
2025-06-22,East,Mouse,7,25
2025-07-04,East,Mouse,6,650
2025-06-17,South,Keyboard,1,650
2025-05-20,West,Keyboard,6,350
2025-09-11,East,Laptop,1,25
2025-02-08,North,Tablet,6,25
2025-05-06,West,Tablet,1,40
2025-07-15,East,Laptop,4,120
2025-10-11,East,Mouse,5,75
2025-05-18,East,Laptop,6,75
2025-04-23,East,Mouse,3,40
2025-06-18,North,Tablet,7,350
2025-04-28,East,Laptop,6,40
2025-10-05,West,Keyboard,2,25
2025-09-29,South,Laptop,5,350
2025-06-05,East,Keyboard,6,650
2025-06-26,North,Tablet,3,25
2025-06-28,South,Laptop,6,75
2025-01-03,South,Monitor,7,350
2025-04-26,West,Tablet,6,350
2025-05-24,North,Monitor,6,650
2025-06-27,South,Laptop,5,75
2025-05-01,South,Keyboard,2,75
2025-07-30,West,Keyboard,6,350
2025-09-18,West,Mouse,3,25
2025-05-08,North,Monitor,4,40
2025-03-16,North,Tablet,3,120
2025-01-30,West,Keyboard,3,350
2025-03-25,North,Monitor,2,25
2025-09-27,West,Tablet,7,120
2025-04-18,South,Tablet,2,75
2025-08-12,West,Keyboard,1,120
2025-06-08,South,Laptop,7,650
2025-10-08,South,Keyboard,4,25
2025-09-04,East,Keyboard,4,650
2025-08-11,North,Laptop,6,75
2025-03-07,East,Mouse,3,350
2025-07-18,East,Tablet,1,75
2025-03-27,West,Laptop,6,40
2025-08-02,West,Mouse,2,350
2025-06-09,East,Laptop,4,350
2025-01-13,South,Mouse,7,25
2025-02-05,South,Keyboard,7,350
2025-01-29,South,Laptop,3,350
2025-05-23,West,Tablet,6,75
2025-10-12,South,Laptop,5,650
2025-09-12,North,Keyboard,4,120
2025-06-20,South,Laptop,1,75
2025-02-21,North,Tablet,3,25
2025-04-06,North,Mouse,5,350
2025-07-28,North,Tablet,7,40
2025-09-05,West,Keyboard,1,350
2025-02-11,East,Keyboard,6,120
2025-03-31,East,Mouse,6,75
2025-09-02,South,Mouse,7,25
2025-05-17,East,Tablet,3,350
2025-01-27,North,Laptop,1,25
2025-10-21,West,Mouse,2,75
2025-05-22,East,Laptop,6,650
2025-07-20,West,Monitor,7,650
2025-01-01,North,Tablet,5,650
2025-09-26,South,Monitor,1,650
2025-09-30,East,Mouse,1,120
2025-04-11,South,Keyboard,4,40
2025-09-17,South,Monitor,5,650
2025-09-13,North,Monitor,1,350
2025-06-21,South,Keyboard,5,650
2025-04-09,North,Mouse,4,120
2025-02-06,South,Mouse,1,25
2025-03-03,East,Tablet,1,120
2025-05-31,East,Tablet,4,75
2025-08-25,East,Mouse,6,650
2025-07-22,South,Mouse,6,75
2025-08-31,West,Monitor,4,40
2025-01-12,North,Keyboard,3,25
2025-10-24,South,Laptop,7,650
2025-09-25,North,Monitor,4,350
2025-01-28,South,Tablet,3,25
2025-08-08,West,Keyboard,4,75
2025-01-05,South,Laptop,1,75
2025-05-03,West,Mouse,3,75
2025-02-02,South,Tablet,4,650
2025-07-24,East,Tablet,7,25
2025-06-12,South,Monitor,6,40
2025-07-29,South,Keyboard,6,40
2025-10-13,West,Keyboard,4,40
2025-05-19,West,Monitor,1,650
2025-03-04,South,Monitor,3,650
2025-05-16,West,Monitor,7,25
2025-05-09,South,Tablet,1,120
2025-10-18,East,Mouse,7,40
2025-01-09,West,Tablet,5,40
2025-03-12,South,Tablet,2,40
2025-09-22,East,Tablet,6,40
2025-03-06,South,Laptop,6,75
2025-02-14,North,Tablet,1,650
2025-10-07,North,Laptop,1,120
2025-06-06,South,Keyboard,5,350
2025-02-10,West,Keyboard,7,75
2025-05-04,North,Monitor,1,25
2025-10-03,South,Laptop,5,25
2025-08-05,East,Laptop,1,40
2025-06-03,North,Tablet,5,40
2025-01-24,East,Monitor,5,650
2025-09-19,South,Monitor,1,650
2025-04-21,West,Tablet,5,650
2025-03-23,East,Laptop,7,120
2025-07-27,East,Tablet,7,120
2025-08-01,North,Tablet,1,120
2025-02-09,South,Keyboard,2,75
2025-08-29,West,Laptop,2,350
2025-10-19,North,Laptop,4,350
2025-09-16,West,Monitor,2,350
2025-07-19,South,Keyboard,6,120
2025-01-15,East,Laptop,6,25
2025-02-17,East,Keyboard,6,350
2025-04-05,South,Laptop,2,75
2025-09-21,South,Keyboard,1,350
2025-08-16,East,Laptop,7,120
2025-10-01,North,Mouse,3,650
2025-07-21,East,Laptop,5,75
2025-06-11,North,Laptop,7,650
2025-02-13,East,Laptop,1,650
2025-08-06,East,Tablet,1,40
2025-05-26,North,Laptop,1,75
2025-07-10,West,Keyboard,2,120
2025-08-09,South,Keyboard,1,350
2025-09-09,West,Keyboard,6,350
2025-01-04,North,Mouse,5,650
2025-04-16,North,Tablet,7,75
2025-02-23,South,Monitor,6,120
2025-05-14,North,Tablet,7,75
2025-01-02,South,Monitor,2,650
2025-05-12,East,Tablet,3,40
2025-04-14,North,Keyboard,6,120
2025-02-19,East,Mouse,2,25
2025-03-22,North,Tablet,1,650
2025-07-25,North,Mouse,5,75
2025-02-04,East,Tablet,6,75
2025-04-02,West,Keyboard,7,120
2025-02-22,North,Laptop,7,75
2025-08-30,South,Keyboard,1,650
2025-01-14,West,Laptop,6,120
2025-03-30,West,Tablet,6,120
2025-06-16,East,Monitor,5,25
2025-10-22,South,Monitor,6,25
2025-05-15,South,Monitor,6,75
2025-10-15,East,Mouse,4,650
2025-09-01,East,Keyboard,1,650
2025-02-24,South,Tablet,4,120
2025-02-20,North,Keyboard,2,120
2025-06-24,North,Monitor,1,75
2025-07-09,West,Laptop,1,40
2025-10-26,South,Laptop,5,25
2025-07-07,South,Monitor,4,75
2025-06-19,South,Tablet,4,40
2025-02-28,West,Keyboard,6,40
2025-02-18,North,Tablet,4,40
2025-08-24,North,Laptop,5,25
2025-09-10,South,Laptop,1,120
2025-01-22,South,Tablet,6,650
2025-06-10,East,Laptop,4,350
2025-10-04,South,Laptop,2,75
2025-07-11,South,Keyboard,6,75
2025-09-15,West,Tablet,6,40
2025-05-30,North,Mouse,1,25
2025-05-11,East,Laptop,2,120
2025-06-01,East,Tablet,1,120
2025-04-10,South,Tablet,2,25
2025-03-29,West,Tablet,1,75
2025-08-03,South,Tablet,5,40
2025-05-02,West,Monitor,4,40
2025-10-27,South,Tablet,7,350
2025-01-21,East,Monitor,6,120
2025-07-08,East,Tablet,5,120
2025-03-13,West,Keyboard,4,350
2025-04-17,South,Mouse,1,650
2025-09-28,South,Mouse,1,350
2025-04-13,North,Mouse,5,120
